Filename,vehicleBrand,vehicleModel,vehicleVariant,vehicleType,registrationNumber,productionDate,mileageFromOdometer,vehicleTransmission,fuelType,drivetrain,basePrice,fuelConsumptionCombined,emissionsCO2,companyName,companyLocation,sellerType,locationCity,locationRegion
15366253.html,Mercedes-Benz,200,Sedan,Car,BLE-862,1989,430000,Manual,Petrol,Rear wheel,1500,0.0,,,,Seller,Hämeenlinna,Kanta-Häme
15373720.html,Mitsubishi,Lancer,Station Wagon,Car,BMI-953,2007,191000,Manual,Petrol,Front wheel,2100,0.0,166,,,Seller,Iisalmi,Pohjois-Savo
15361241.html,Nissan,Primera,Station Wagon,Car,GGM-657,2005,332000,Manual,Petrol,Front wheel,1000,0.0,173,,,Seller,Helsinki,Uusimaa
15360296.html,Volkswagen,Touareg,All-terrain SUV,Car,BKY-832,2008,279500,Automatic,Diesel,Four wheel,2790,0.0,,,,Seller,Porvoo,Uusimaa
15360230.html,Jeep,Patriot,All-terrain SUV,Car,GHP-959,2009,252314,Automatic,Petrol,Four wheel,1999,10.0,214,,,Seller,Nokia,Pirkanmaa
15375359.html,Ford,Focus,Station Wagon,Car,GNT-237,2020,66000,Automatic,Diesel,Front wheel,17500,3.9,138,,,Seller,Pirkkala,Pirkanmaa
15360956.html,Hyundai,Terracan,All-terrain SUV,Car,FGM-993,2004,316000,Automatic,Diesel,Four wheel,1900,0.0,241,,,Seller,Kauhajoki,Etelä-Pohjanmaa
15370031.html,Toyota,Avensis,Station Wagon,Car,OTG-522,2004,302000,Manual,Petrol,Front wheel,1790,0.0,173,,,Seller,Kajaani,Kainuu
15363557.html,Fiat,Punto,Hatchback,Car,GHG-960,2008,171000,Manual,Petrol,Front wheel,1750,5.5,136,,,Seller,Kerava,Uusimaa
15376071.html,Toyota,Corolla Verso,Station Wagon,Car,VBG-261,2003,178000,Manual,Petrol,Front wheel,1390,0.0,,,,Seller,Mäntsälä,Uusimaa
15370604.html,Peugeot,208,Hatchback,Car,LNX-307,2017,151000,Automatic,Petrol,Front wheel,6800,4.2,97,Vaihtokaara Raisio,Raisio,Dealer,Raisio,Varsinais-Suomi
15368360.html,Honda,Civic,Hatchback,Car,KCG-952,2007,241000,Manual,Petrol,Front wheel,2999,6.6,156,,,Seller,Lapinjärvi,Uusimaa
15362855.html,Subaru,Legacy,Sedan,Car,HEY-973,2010,147000,Manual,Diesel,Four wheel,9980,6.3,165,Suomen Vaunumesta Oy,Tuusula,Dealer,Tuusula,Uusimaa
15373580.html,Toyota,Avensis,Station Wagon,Car,VBG-340,2003,347000,Manual,Petrol,Front wheel,1650,0.0,172,,,Seller,Kristiinankaupunki,Pohjanmaa
15358259.html,Volvo,745,Station Wagon,Car,FBL-620,1991,524660,Manual,Petrol,Rear wheel,1500,0.0,,,,Seller,Oulu,Pohjois-Pohjanmaa
15360582.html,Toyota,Corolla,Sedan,Car,ZLF-199,2003,394000,Manual,Diesel,Front wheel,1000,0.0,153,,,Seller,Kuusamo,Pohjois-Pohjanmaa
15373081.html,Volkswagen,Transporter,Short - Low,Van,FHM-123,2006,396000,Manual,Diesel,Front wheel,3500,0.0,,,,Seller,Pieksämäki,Etelä-Savo
15361216.html,Mercedes-Benz,C,Sedan,Car,FGE-105,1993,282273,Manual,Petrol,Rear wheel,1350,0.0,,,,Seller,Saarijärvi,Keski-Suomi
15372844.html,Peugeot,Expert,Long - High,Van,SEZ-779,2009,196994,Manual,Diesel,Front wheel,5200,0.0,191,,,Seller,Kokkola,Keski-Pohjanmaa
15360299.html,Chevrolet,Chevy Van,Normal,Light truck,CXY-56,2000,340000,Automatic,Diesel,Rear wheel,3950,0.0,,,,Seller,Lahti,Päijät-Häme
15358416.html,Mazda,B2600,Pickup,Car,OGX-442,1996,345225,Manual,Diesel,Four wheel,2000,0.0,,,,Seller,Sodankylä,Lappi
15367978.html,Suzuki,Vitara,Hatchback,Car,ERP-770,2021,118000,Manual,Petrol,Four wheel,18700,0.0,,,,Seller,Kuopio,Pohjois-Savo
15362525.html,Renault,Megane,Station Wagon,Car,KMC-506,2013,174000,Manual,Petrol,Front wheel,3790,0.0,119,Antons Verkstad,Pietarsaari,Dealer,Pietarsaari,Pohjanmaa
15371698.html,Volkswagen,Golf,Station Wagon,Car,AAY-769,2008,238000,Manual,Petrol,Front wheel,2290,7.4,176,VS-Autotalo Oy,Ylöjärvi,Dealer,Ylöjärvi,Pirkanmaa
15361368.html,Mazda,6,Hatchback,Car,SRY-124,2009,241000,Automatic,Petrol,Front wheel,3200,0.0,182,,,Seller,Espoo,Uusimaa
15375201.html,Volvo,V70,Station Wagon,Car,NGK-869,2002,320000,Automatic,Petrol,Front wheel,3000,0.0,264,,,Seller,Nurmijärvi,Uusimaa
